DatoNokkel;Organisasjonsnokkel;Stillingsgruppe;Aarsverk;FagligeAarsverk;Scenario
20260701;I005K1;PROF;12.15;12.15;Actual
20260701;I005K1;FORST;19.33;19.33;Actual
20260701;I005K1;REKR;7.81;7.81;Actual
20260701;I005K1;ADM;19.16;0.0;Actual
20260701;I005K1;TEK;5.77;0.0;Actual
20260801;I005K1;PROF;12.53;12.53;Actual
20260801;I005K1;FORST;19.56;19.56;Actual
20260801;I005K1;REKR;8.03;8.03;Actual
20260801;I005K1;ADM;19.91;0.0;Actual
20260801;I005K1;TEK;5.95;0.0;Actual
20260901;I005K1;PROF;12.33;12.33;Actual
20260901;I005K1;FORST;20.19;20.19;Actual
20260901;I005K1;REKR;7.66;7.66;Actual
20260901;I005K1;ADM;20.16;0.0;Actual
20260901;I005K1;TEK;5.78;0.0;Actual
20261001;I005K1;PROF;12.41;12.41;Actual
20261001;I005K1;FORST;19.26;19.26;Actual
20261001;I005K1;REKR;8.06;8.06;Actual
20261001;I005K1;ADM;19.12;0.0;Actual
20261001;I005K1;TEK;5.98;0.0;Actual
20261101;I005K1;PROF;12.53;12.53;Actual
20261101;I005K1;FORST;19.17;19.17;Actual
20261101;I005K1;REKR;8.04;8.04;Actual
20261101;I005K1;ADM;19.38;0.0;Actual
20261101;I005K1;TEK;5.93;0.0;Actual
20261201;I005K1;PROF;12.45;12.45;Actual
20261201;I005K1;FORST;20.08;20.08;Actual
20261201;I005K1;REKR;7.67;7.67;Actual
20261201;I005K1;ADM;20.06;0.0;Actual
20261201;I005K1;TEK;5.92;0.0;Actual
20260101;I006K1;PROF;10.68;10.68;Actual
20260101;I006K1;FORST;16.51;16.51;Actual
20260101;I006K1;REKR;6.74;6.74;Actual
20260101;I006K1;ADM;16.75;0.0;Actual
20260101;I006K1;TEK;4.97;0.0;Actual
20260201;I006K1;PROF;10.24;10.24;Actual
20260201;I006K1;FORST;16.59;16.59;Actual
20260201;I006K1;REKR;6.73;6.73;Actual
20260201;I006K1;ADM;16.0;0.0;Actual
20260201;I006K1;TEK;4.82;0.0;Actual
20260301;I006K1;PROF;10.53;10.53;Actual
20260301;I006K1;FORST;16.39;16.39;Actual
20260301;I006K1;REKR;6.59;6.59;Actual
20260301;I006K1;ADM;16.02;0.0;Actual
20260301;I006K1;TEK;5.02;0.0;Actual
20260401;I006K1;PROF;10.21;10.21;Actual
20260401;I006K1;FORST;16.6;16.6;Actual
20260401;I006K1;REKR;6.67;6.67;Actual
20260401;I006K1;ADM;16.09;0.0;Actual
20260401;I006K1;TEK;5.03;0.0;Actual
20260501;I006K1;PROF;10.67;10.67;Actual
20260501;I006K1;FORST;16.62;16.62;Actual
20260501;I006K1;REKR;6.73;6.73;Actual
20260501;I006K1;ADM;16.63;0.0;Actual
20260501;I006K1;TEK;4.98;0.0;Actual
20260601;I006K1;PROF;10.35;10.35;Actual
20260601;I006K1;FORST;16.32;16.32;Actual
20260601;I006K1;REKR;6.48;6.48;Actual
20260601;I006K1;ADM;16.15;0.0;Actual
20260601;I006K1;TEK;5.01;0.0;Actual
20260701;I006K1;PROF;10.23;10.23;Actual
20260701;I006K1;FORST;16.38;16.38;Actual
20260701;I006K1;REKR;6.7;6.7;Actual
20260701;I006K1;ADM;16.71;0.0;Actual
20260701;I006K1;TEK;4.95;0.0;Actual
20260801;I006K1;PROF;10.15;10.15;Actual
20260801;I006K1;FORST;16.42;16.42;Actual
20260801;I006K1;REKR;6.41;6.41;Actual
20260801;I006K1;ADM;16.82;0.0;Actual
20260801;I006K1;TEK;4.98;0.0;Actual
20260901;I006K1;PROF;10.12;10.12;Actual
20260901;I006K1;FORST;16.52;16.52;Actual
20260901;I006K1;REKR;6.38;6.38;Actual
20260901;I006K1;ADM;16.87;0.0;Actual
20260901;I006K1;TEK;4.96;0.0;Actual
20261001;I006K1;PROF;10.54;10.54;Actual
20261001;I006K1;FORST;16.21;16.21;Actual
20261001;I006K1;REKR;6.43;6.43;Actual
20261001;I006K1;ADM;16.72;0.0;Actual
20261001;I006K1;TEK;5.08;0.0;Actual
20261101;I006K1;PROF;10.23;10.23;Actual
20261101;I006K1;FORST;16.81;16.81;Actual
20261101;I006K1;REKR;6.58;6.58;Actual
20261101;I006K1;ADM;16.44;0.0;Actual
20261101;I006K1;TEK;4.96;0.0;Actual
20261201;I006K1;PROF;10.64;10.64;Actual
20261201;I006K1;FORST;16.03;16.03;Actual
20261201;I006K1;REKR;6.72;6.72;Actual
20261201;I006K1;ADM;16.88;0.0;Actual
20261201;I006K1;TEK;4.92;0.0;Actual
20260101;I007K1;PROF;14.53;14.53;Actual
20260101;I007K1;FORST;22.79;22.79;Actual
20260101;I007K1;REKR;9.29;9.29;Actual
20260101;I007K1;ADM;22.78;0.0;Actual
20260101;I007K1;TEK;6.88;0.0;Actual
20260201;I007K1;PROF;14.26;14.26;Actual
20260201;I007K1;FORST;22.62;22.62;Actual
20260201;I007K1;REKR;8.95;8.95;Actual
20260201;I007K1;ADM;22.83;0.0;Actual
20260201;I007K1;TEK;6.94;0.0;Actual
20260301;I007K1;PROF;14.52;14.52;Actual
20260301;I007K1;FORST;23.37;23.37;Actual
20260301;I007K1;REKR;8.9;8.9;Actual
20260301;I007K1;ADM;22.86;0.0;Actual
20260301;I007K1;TEK;6.91;0.0;Actual
20260401;I007K1;PROF;14.71;14.71;Actual
20260401;I007K1;FORST;23.44;23.44;Actual
20260401;I007K1;REKR;9.04;9.04;Actual
20260401;I007K1;ADM;23.32;0.0;Actual
20260401;I007K1;TEK;6.87;0.0;Actual
20260501;I007K1;PROF;14.69;14.69;Actual
20260501;I007K1;FORST;22.77;22.77;Actual
20260501;I007K1;REKR;9.33;9.33;Actual
20260501;I007K1;ADM;22.43;0.0;Actual
20260501;I007K1;TEK;6.79;0.0;Actual
20260601;I007K1;PROF;14.69;14.69;Actual
20260601;I007K1;FORST;23.23;23.23;Actual
20260601;I007K1;REKR;9.41;9.41;Actual
20260601;I007K1;ADM;23.26;0.0;Actual
20260601;I007K1;TEK;6.93;0.0;Actual
20260701;I007K1;PROF;14.08;14.08;Actual
20260701;I007K1;FORST;22.22;22.22;Actual
20260701;I007K1;REKR;9.2;9.2;Actual
20260701;I007K1;ADM;23.31;0.0;Actual
20260701;I007K1;TEK;7.05;0.0;Actual
20260801;I007K1;PROF;14.91;14.91;Actual
20260801;I007K1;FORST;22.6;22.6;Actual
20260801;I007K1;REKR;9.3;9.3;Actual
20260801;I007K1;ADM;23.22;0.0;Actual
20260801;I007K1;TEK;6.98;0.0;Actual
20260901;I007K1;PROF;14.2;14.2;Actual
20260901;I007K1;FORST;23.1;23.1;Actual
20260901;I007K1;REKR;9.23;9.23;Actual
20260901;I007K1;ADM;22.51;0.0;Actual
20260901;I007K1;TEK;6.67;0.0;Actual
20261001;I007K1;PROF;14.13;14.13;Actual
20261001;I007K1;FORST;22.55;22.55;Actual
20261001;I007K1;REKR;8.96;8.96;Actual
20261001;I007K1;ADM;22.44;0.0;Actual
20261001;I007K1;TEK;6.81;0.0;Actual
20261101;I007K1;PROF;14.11;14.11;Actual
20261101;I007K1;FORST;23.34;23.34;Actual
20261101;I007K1;REKR;9.31;9.31;Actual
20261101;I007K1;ADM;23.46;0.0;Actual
20261101;I007K1;TEK;6.68;0.0;Actual
20261201;I007K1;PROF;14.81;14.81;Actual
20261201;I007K1;FORST;23.13;23.13;Actual
20261201;I007K1;REKR;8.93;8.93;Actual
20261201;I007K1;ADM;23.21;0.0;Actual
20261201;I007K1;TEK;6.93;0.0;Actual
20260101;I008K1;PROF;10.58;10.58;Actual
20260101;I008K1;FORST;17.08;17.08;Actual
20260101;I008K1;REKR;6.7;6.7;Actual
20260101;I008K1;ADM;16.74;0.0;Actual
20260101;I008K1;TEK;5.2;0.0;Actual
20260201;I008K1;PROF;10.8;10.8;Actual
20260201;I008K1;FORST;17.14;17.14;Actual
20260201;I008K1;REKR;6.7;6.7;Actual
20260201;I008K1;ADM;16.74;0.0;Actual
20260201;I008K1;TEK;5.03;0.0;Actual
20260301;I008K1;PROF;11.09;11.09;Actual
20260301;I008K1;FORST;17.52;17.52;Actual
20260301;I008K1;REKR;6.71;6.71;Actual
20260301;I008K1;ADM;16.93;0.0;Actual
20260301;I008K1;TEK;5.1;0.0;Actual
20260401;I008K1;PROF;10.7;10.7;Actual
20260401;I008K1;FORST;17.53;17.53;Actual
20260401;I008K1;REKR;6.76;6.76;Actual
20260401;I008K1;ADM;17.41;0.0;Actual
20260401;I008K1;TEK;5.08;0.0;Actual
20260501;I008K1;PROF;10.93;10.93;Actual
20260501;I008K1;FORST;16.99;16.99;Actual
20260501;I008K1;REKR;6.69;6.69;Actual
20260501;I008K1;ADM;16.99;0.0;Actual
20260501;I008K1;TEK;5.19;0.0;Actual
20260601;I008K1;PROF;10.56;10.56;Actual
20260601;I008K1;FORST;16.72;16.72;Actual
20260601;I008K1;REKR;6.69;6.69;Actual
20260601;I008K1;ADM;17.53;0.0;Actual
20260601;I008K1;TEK;5.16;0.0;Actual
20260701;I008K1;PROF;11.11;11.11;Actual
20260701;I008K1;FORST;17.56;17.56;Actual
20260701;I008K1;REKR;6.79;6.79;Actual
20260701;I008K1;ADM;16.56;0.0;Actual
20260701;I008K1;TEK;5.1;0.0;Actual
20260801;I008K1;PROF;10.93;10.93;Actual
20260801;I008K1;FORST;16.74;16.74;Actual
20260801;I008K1;REKR;6.97;6.97;Actual
20260801;I008K1;ADM;17.57;0.0;Actual
20260801;I008K1;TEK;5.23;0.0;Actual
20260901;I008K1;PROF;10.63;10.63;Actual
20260901;I008K1;FORST;17.04;17.04;Actual
20260901;I008K1;REKR;6.89;6.89;Actual
20260901;I008K1;ADM;16.72;0.0;Actual
20260901;I008K1;TEK;5.06;0.0;Actual
20261001;I008K1;PROF;10.89;10.89;Actual
20261001;I008K1;FORST;17.55;17.55;Actual
20261001;I008K1;REKR;6.89;6.89;Actual
20261001;I008K1;ADM;16.73;0.0;Actual
20261001;I008K1;TEK;5.16;0.0;Actual
20261101;I008K1;PROF;10.65;10.65;Actual
20261101;I008K1;FORST;17.29;17.29;Actual
20261101;I008K1;REKR;6.69;6.69;Actual
20261101;I008K1;ADM;16.92;0.0;Actual
20261101;I008K1;TEK;5.12;0.0;Actual
20261201;I008K1;PROF;10.95;10.95;Actual
20261201;I008K1;FORST;16.78;16.78;Actual
20261201;I008K1;REKR;6.75;6.75;Actual
20261201;I008K1;ADM;17.33;0.0;Actual
20261201;I008K1;TEK;5.11;0.0;Actual
20260101;I009K1;PROF;10.92;10.92;Actual
20260101;I009K1;FORST;17.93;17.93;Actual
20260101;I009K1;REKR;6.87;6.87;Actual
20260101;I009K1;ADM;18.13;0.0;Actual
20260101;I009K1;TEK;5.4;0.0;Actual
20260201;I009K1;PROF;11.52;11.52;Actual
20260201;I009K1;FORST;17.86;17.86;Actual
20260201;I009K1;REKR;7.11;7.11;Actual
20260201;I009K1;ADM;17.67;0.0;Actual
20260201;I009K1;TEK;5.24;0.0;Actual
20260301;I009K1;PROF;11.21;11.21;Actual
20260301;I009K1;FORST;17.73;17.73;Actual
20260301;I009K1;REKR;7.01;7.01;Actual
20260301;I009K1;ADM;17.54;0.0;Actual
20260301;I009K1;TEK;5.31;0.0;Actual
20260401;I009K1;PROF;11.23;11.23;Actual
20260401;I009K1;FORST;17.99;17.99;Actual
20260401;I009K1;REKR;7.08;7.08;Actual
20260401;I009K1;ADM;17.26;0.0;Actual
20260401;I009K1;TEK;5.35;0.0;Actual
20260501;I009K1;PROF;11.2;11.2;Actual
20260501;I009K1;FORST;17.17;17.17;Actual
20260501;I009K1;REKR;7.15;7.15;Actual
20260501;I009K1;ADM;17.63;0.0;Actual
20260501;I009K1;TEK;5.22;0.0;Actual
20260601;I009K1;PROF;11.42;11.42;Actual
20260601;I009K1;FORST;17.46;17.46;Actual
20260601;I009K1;REKR;7.28;7.28;Actual
20260601;I009K1;ADM;17.41;0.0;Actual
20260601;I009K1;TEK;5.27;0.0;Actual
20260701;I009K1;PROF;11.16;11.16;Actual
20260701;I009K1;FORST;17.29;17.29;Actual
20260701;I009K1;REKR;7.23;7.23;Actual
20260701;I009K1;ADM;18.18;0.0;Actual
20260701;I009K1;TEK;5.19;0.0;Actual
20260801;I009K1;PROF;11.19;11.19;Actual
20260801;I009K1;FORST;17.97;17.97;Actual
20260801;I009K1;REKR;6.98;6.98;Actual
20260801;I009K1;ADM;17.71;0.0;Actual
20260801;I009K1;TEK;5.17;0.0;Actual
20260901;I009K1;PROF;11.21;11.21;Actual
20260901;I009K1;FORST;17.84;17.84;Actual
20260901;I009K1;REKR;7.16;7.16;Actual
20260901;I009K1;ADM;17.99;0.0;Actual
20260901;I009K1;TEK;5.29;0.0;Actual
20261001;I009K1;PROF;11.2;11.2;Actual
20261001;I009K1;FORST;17.64;17.64;Actual
20261001;I009K1;REKR;7.09;7.09;Actual
20261001;I009K1;ADM;17.49;0.0;Actual
20261001;I009K1;TEK;5.15;0.0;Actual
20261101;I009K1;PROF;11.04;11.04;Actual
20261101;I009K1;FORST;18.17;18.17;Actual
20261101;I009K1;REKR;6.97;6.97;Actual
20261101;I009K1;ADM;17.78;0.0;Actual
20261101;I009K1;TEK;5.35;0.0;Actual
20261201;I009K1;PROF;11.22;11.22;Actual
20261201;I009K1;FORST;18.08;18.08;Actual
20261201;I009K1;REKR;7.04;7.04;Actual
20261201;I009K1;ADM;18.11;0.0;Actual
20261201;I009K1;TEK;5.26;0.0;Actual
20260101;I010K1;PROF;7.9;7.9;Actual
20260101;I010K1;FORST;11.79;11.79;Actual
20260101;I010K1;REKR;4.78;4.78;Actual
20260101;I010K1;ADM;11.87;0.0;Actual
20260101;I010K1;TEK;3.72;0.0;Actual
20260201;I010K1;PROF;7.76;7.76;Actual
20260201;I010K1;FORST;12.47;12.47;Actual
20260201;I010K1;REKR;4.79;4.79;Actual
20260201;I010K1;ADM;12.03;0.0;Actual
20260201;I010K1;TEK;3.74;0.0;Actual
20260301;I010K1;PROF;7.58;7.58;Actual
20260301;I010K1;FORST;12.39;12.39;Actual
20260301;I010K1;REKR;4.72;4.72;Actual
20260301;I010K1;ADM;12.23;0.0;Actual
20260301;I010K1;TEK;3.63;0.0;Actual
