DatoNokkel;Organisasjonsnokkel;Studieprogram;Studiekategori;RegistrerteStudenter;PlanlagteStudiepoeng;AvlagteStudiepoeng;SPE60;BestattAndel;SatsPerSPE60;BeregnetInntekt
20260601;I001K1;I001MA;Kategori 1;45;1350;1147.5;19.125;0.85;54550;1043268.75
20260601;I004K1;I004BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260601;I004K1;I004MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260601;I007K1;I007BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260601;I013K1;I013BA;Kategori 1;120;3600;2592.0;43.2;0.72;54550;2356560.0
20260601;I014K1;I014MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260601;I016K1;I016BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260601;I016K1;I016MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260701;I001K1;I001BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260701;I001K1;I001MA;Kategori 1;45;1350;1147.5;19.125;0.85;54550;1043268.75
20260701;I004K1;I004BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260701;I004K1;I004MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260701;I007K1;I007BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260701;I013K1;I013BA;Kategori 1;120;3600;2592.0;43.2;0.72;54550;2356560.0
20260701;I014K1;I014MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260701;I016K1;I016BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260701;I016K1;I016MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260801;I001K1;I001BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260801;I001K1;I001MA;Kategori 1;45;1350;1147.5;19.125;0.85;54550;1043268.75
20260801;I004K1;I004BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260801;I004K1;I004MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260801;I007K1;I007BA;Kategori 1;120;3600;3060.0;51.0;0.85;54550;2782050.0
20260801;I013K1;I013BA;Kategori 1;120;3600;2592.0;43.2;0.72;54550;2356560.0
20260801;I014K1;I014MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
20260801;I016K1;I016BA;Kategori 2;120;3600;3060.0;51.0;0.85;81800;4171800.0
20260801;I016K1;I016MA;Kategori 2;45;1350;1147.5;19.125;0.85;81800;1564425.0
