BegrepID;Begrep;FulltNavn;Kategori;Definisjon;PraktiskTolkning;FormelDAX;RolleKontekst;RelevantRapport
11;BOA-finansieringsandel %;Eksternfinansieringsgrad;01 Regnskap & Sektor;Andel av institusjonens totale inntekter som stammer fra eksterne BOA-prosjekter.;Måler institusjonens evne til å hente konkurranseutsatt forskningsfinansiering (nasjonalt mål: > 2.5%).;DIVIDE([BOA inntekter], [Inntekter]);Styret / Ledelse;04 Styret
12;Budget;Vedtatt årsbudsjett;01 Regnskap & Sektor;Den økonomiske handlingsplanen vedtatt av universitetsstyret før årets start.;Låses som baseline (BAC) og fordeles per måned, enhet, konto og prosjekt.;SUM(FactBudget[BudsjettBelop]);Alle roller;03 Executive
13;Controller Cockpit;Avstemmings- og kontrollpanel;08 Teknisk & Modell;Helhetlig kontrollpanel for regnskapsavstemming, feilsøking og avviksdrivere i kontoplanen.;Brukes av controller før månedsslutt for å avdekke feilføringer, manglende periodiseringer og ubalanser.;Rapportside 08;Controller;08 Controller Cockpit
14;Data-Ink Ratio;Edward Tuftes designprinsipp;07 RAG & Farger;Prinsipp om å maksimere andelen informasjonsbærende elementer i visuelle fremstillinger.;Fjern unødvendige rutenett, tunge skygger, 3D-effekter og dekorative ikoner for å skape krystallklare rapporter.;Data-Ink / Total-Ink;Alle roller;Alle dashboards
15;DAX;Data Analysis Expressions;08 Teknisk & Modell;Formel- og beregningsspråk i Power BI, Fabric og Analysis Services.;Benyttes til å definere forretningslogikk, rullende tidsserier, EVM-beregninger og RAG-status dynamisk.;Stjernemodell formler;Controller / BI-utvikler;TMDL Model
16;Dekan;Fakultetsleder;08 Teknisk & Modell;Øverste faglige og administrative leder for et helt fakultet med underliggende institutter.;Fokuserer på fakultetets samlede økonomiske balanse, lærerressurser og studieproduksjon.;Rapportside 02;Dekan;02 Dekan & Fakultet
17;DFØ;Direktoratet for forvaltning og øk.styring;01 Regnskap & Sektor;Statens fagorgan for økonomistyring, regnskapsstandarder (SRS) og felles kontoplan.;Utformer retningslinjene som ligger til grunn for kontoplan R-102 og regnskapsavleggelsen.;Regelverk;Controller;08 Controller Cockpit
18;DimAccount;Kontoplan (Dimensjon);08 Teknisk & Modell;Dimensjonstabell med 46 standardkontoer fordelt på kontoklasser og SRS-regnskapslinjer.;Knyttes til FactGL, FactBudget, FactForecast og FactAction med 1:* relasjoner.;DimAccount.csv;Controller;08 Controller Cockpit
19;DimOrganization;Organisasjonsstruktur (Dimensjon);08 Teknisk & Modell;Dimensjonstabell med 74 koststeder fordelt på 6 fakulteter/enheter og 25 institutter.;Danner grunnlaget for organisasjonshierarkiet (Fakultet -> Institutt -> Koststed).;DimOrganization.csv;Alle roller;01 Instituttleder
20;Drill-down;Hierarkisk navigasjon;08 Teknisk & Modell;Interaktiv navigasjon fra et aggregert nivå ned til underliggende komponenter i samme visual.;Lar brukeren gå fra fakultetstotal ned til institutt og enkeltkoststeder i matrisen.;Hierarkisk visualisering;Alle roller;03 Executive
21;Drill-through;Dybdenavigasjon med filterkontekst;08 Teknisk & Modell;Navigasjon til en egen detaljrapport der filterkonteksten fra avsenderrapporten bevares.;Eksempelvis å klikke på et prosjekt i lederdashboardet og hoppe til DT Prosjektdetaljer.;Rapportsider DT1-DT5;Alle roller;Drill-Through
22;EAC;Estimate at Completion;02 Prosjektcontrolling (EVM);Det oppdaterte forventede totalsluttresultatet for prosjektet eller regnskapsåret.;Tilsvarer Latest Estimate (LE) og sammenlignes direkte mot opprinnelig ramme (BAC) for å avdekke overskridelser.;[Forecast aarsbelop];Alle roller;03 Executive
23;ETC;Estimate to Complete;02 Prosjektcontrolling (EVM);Forventet gjenstående kostnad fra nåværende tidspunkt og frem til fullføring.;Nødvendig for likviditetsstyring og vurdering av om prosjektet vil kreve ekstratildeling.;[EAC] - [Regnskap YTD];Project Controller;DT Prosjekt EVM
24;EVU;Etter- og videreutdanning;01 Regnskap & Sektor;Kommersiell oppdragsutdanning for næringsliv og offentlige etater som betales av kunden.;Inntektsføres som oppdragsaktivitet etter SRS 12 og krever full kostnadsdekning.;Konto 3600-3620;Dekan / Instituttleder;05 Forskning & BOA
25;EVM;Earned Value Management;02 Prosjektcontrolling (EVM);Internasjonal metode for prosjektstyring som integrerer omfang, tid og påløpte kostnader.;Gir tidlige varsler om prosjektavvik gjennom nøkkeltall som BAC, EAC, ETC og VAC.;Prosjektcontrolling;Project Controller;DT Prosjekt EVM
26;EVM Sluttavvik RAG Status;RAG-status prosjektavvik;07 RAG & Farger;Trafikklysstatus for sluttavviket (VAC) i BOA-prosjekter.;Grønn hvis under budsjett (VAC >= 0), Gul ved moderat avvik (opptil -5%), Rød ved kritisk sprekk (<-5%).;"SWITCH(TRUE(), [VAC] >= 0, ""🟢 Under budsjett"", [VAC %] >= -0.05, ""🟡 Moderat overskridelse"", ""🔴 Kritisk overskridelse"")";Project Controller;DT Prosjekt EVM
27;FactAction;Omstillingstiltak (Fakta);06 Omstilling & Tiltak;Faktatabell med 16 identifiserte ledelsestiltak for kostnadsreduksjon og gevinstrealisering.;Inneholder forventet og realisert effekt, tiltaksansvarlig, frist, risikovurdering og status.;FactAction.csv;Ledelse / Controller;07 Action Tracker
28;FactBudget;Månedsbudsjett (Fakta);01 Regnskap & Sektor;Faktatabell med 17 760 periodiserte budsjettlinjer per måned, org, konto og prosjekt.;Danner grunnlaget for budsjettoppfølging og BAC.;FactBudget.csv;Controller;08 Controller Cockpit
29;FactForecast;Rullende prognose (Fakta);03 Prognose & Avvik;Faktatabell med 53 280 prognoselinjer fordelt på versjonene FC1, FC2 og LE.;Inneholder prognosebeløp og sannsynlighetsvekting for usikkerhetsstyring.;FactForecast.csv;Controller / Ledelse;03 Executive
30;FactFTE;Årsverk (Fakta);04 Bemanning & Kapasitet;Faktatabell med 1 440 månedlige bemanningsregistreringer per enhet og stillingsgruppe.;Brukes til å beregne totalårsverk, faglige årsverk og lønn per årsverk.;FactFTE.csv;HR / Dekan;DT Bemanning
31;FactGL;Hovedbok transaksjoner (Fakta);01 Regnskap & Sektor;Faktatabell med 35 760 bokførte transaksjoner med bilagsnummer, posteringsdato og signert beløp.;Grunnlaget for regnskapsavstemming og historiske actuals.;FactGL.csv;Controller;DT Økonomi
32;FactStudyPoints;Studieproduksjon (Fakta);05 Utdanningsproduksjon;Faktatabell med 432 månedlige registreringer av studenter, planlagte/avlagte studiepoeng og SPE60.;Understøtter finansieringsberegninger og dimensjonering av studieporteføljen.;FactStudyPoints.csv;Utdanningsledelse;06 Studieportefølje
33;Faglig andel %;Vitenskapelig bemanningsandel;04 Bemanning & Kapasitet;Andelen av den samlede bemanningen som utgjøres av undervisnings- og forskerstillinger (UF).;Bør overstige 50-55% for å sikre at ressursene primært kanaliseres til institusjonens kjerneoppgaver.;DIVIDE([Faglige aarsverk], [Aarsverk]);Dekan / Styret;02 Dekan & Fakultet
34;FC1 / FC2;Rullende tertialprognoser;03 Prognose & Avvik;Periodiske prognoserapporteringer gjennomført etter tertial 1 (april) og tertial 2 (august).;Viser hvordan helårsforventningen utvikler seg gjennom budsjettåret etter hvert som usikkerhet reduseres.;DimForecastVersion[Versjon];Controller / Ledelse;03 Executive
35;Forecastavvik;Forventet avvik ved årsslutt;03 Prognose & Avvik;Differansen mellom gjeldende helårsprognose (LE) og vedtatt årsbudsjett.;Viser det forventede mer- eller mindreforbruket før eventuelle korrigerende omstillingstiltak iverksettes.;[Forecast aarsbelop] - [Aarsbudsjett];Alle roller;03 Executive
36;Forecast RAG Status;RAG-status helårsprognose;07 RAG & Farger;Trafikklysstatus for forventet helårsavvik målt mot budsjett.;Rød hvis prognosen overstiger budsjettet med > 5%, Gul ved 2-5%, Grønn ved <= 2% overskridelse.;"SWITCH(TRUE(), [Forecastavvik %] > 0.05, ""🔴 Rød (>5%)"", [Forecastavvik %] >= 0.02, ""🟡 Gul (2-5%)"", ""🟢 Grønn (<=2%)"")";Styret / Ledelse;03 Executive
37;FTE;Full-Time Equivalent / Årsverk;04 Bemanning & Kapasitet;Standardisert måleenhet for arbeidsinnsats tilsvarende én 100% stilling i ett år (1950 arbeidstimer).;Måles som et snapshot ved slutten av hver måned for å unngå summeringsfeil.;[Aarsverk];HR / Ledelse;DT Bemanning
38;Instituttleder;Leder av grunnenhet;08 Teknisk & Modell;Øverste administrative og faglige leder for et institutt med direkte budsjett- og personalansvar.;Fokuserer på månedsavvik, lærerkapasitet, sykemeldinger, sensorkostnader og lokale tiltak.;Rapportside 01;Instituttleder;01 Instituttleder
39;KD;Kunnskapsdepartementet;01 Regnskap & Sektor;Overordnet statlig departement som fastsetter rammer, mål og bevilgninger for universitetssektoren.;Utsteder det årlige tildelingsbrevet som fastlegger institusjonens økonomiske rammer.;Statlig eier;Styret / Ledelse;04 Styret
40;Kostnad per SPE60;Enhetskostnad per helårsstudent;05 Utdanningsproduksjon;Totale drifts- og personalkostnader dividert med antall produserte SPE60.;Avdekker kostnadseffektiviteten i utdanningstilbudet,  høye tall indikerer for små studentkull eller høy ressursbruk.;DIVIDE([Faktisk kostnader], [SPE60]);Dekan / Utdanningsledelse;06 Studieportefølje
41;LE;Latest Estimate;03 Prognose & Avvik;Den nyeste gjeldende helårsprognosen (i modellen referert til som LE_2026).;Representerer ledelsens beste nåværende estimat for sluttresultatet ved regnskapsårets utgang.;"CALCULATE([Gjeldende forecast], DimForecastVersion[Versjon]=""LE_2026"")";Alle roller;03 Executive
42;Lønnsandel %;Personalkostnadsandel;04 Bemanning & Kapasitet;Personalkostnader uttrykt som en prosentandel av institusjonens samlede driftskostnader.;Typisk 65-72% i UH-sektoren,  den viktigste enkeltfaktoren for økonomisk bærekraft.;DIVIDE([Faktisk lonnskostnader], [Faktisk kostnader]);Dekan / Ledelse;02 Dekan & Fakultet
43;NFR;Norges forskningsråd;01 Regnskap & Sektor;Nasjonalt organ for finansiering av forskningsprosjekter etter søknad og fagfellevurdering.;Største eksterne bidragsyter i modellen,  inntekter føres på konto 3400-3419.;"DimProject[Finansieringskilde] = ""NFR""";Forskningsledelse;05 Forskning & BOA
44;Oppdrag;Oppdragsforskning;01 Regnskap & Sektor;Aktivitet utført for eksterne oppdragsgivere med krav om definerte leveranser og kommersielle vilkår.;Skal prises til markedsverdi med full dekning av direkte kostnader og overhead iht. EØS-statsstøtteregler.;"DimProject[Finansieringstype] = ""Oppdrag""";Forskningsledelse;05 Forskning & BOA
45;PBIP;Power BI Project;08 Teknisk & Modell;Mappebasert kildetekstformat for Power BI som skiller semantisk modell (TMDL) og rapport (PBIR).;Gjør det mulig å versjonskontrollere Power BI i Git, kjøre automatisert testing og samarbeide i team.;Mappestruktur;BI-utvikler;Repo root
46;PBIR;Power BI Enhanced Report Format;08 Teknisk & Modell;Deklarativt JSON-format for Power BI-rapporter som definerer alle visuals, rader og formater.;Sikrer at rapportbygging kan automatiseres via skript og valideres med CLI-verktøy.;UIA-Controller-Prosjekt.Report;BI-utvikler;PBIR Definition
47;RAG;Red-Amber-Green;07 RAG & Farger;Trafikklysmetodikk for visuell styring og avvikshåndtering.;Retter ledelsens oppmerksomhet mot de få kritiske områdene som krever umiddelbar handling.;RAG-mål;Alle roller;Alle dashboards
48;Realiseringsgrad %;Gevinstrealiseringsgrad;06 Omstilling & Tiltak;Forholdet mellom faktisk oppnådd innsparing og planlagt innsparing for et omstillingstiltak.;Måler om tiltakene leverer den forventede økonomiske effekten i praksis.;DIVIDE([Realisert tiltakseffekt], [Forventet tiltakseffekt]);Ledelse / Styret;07 Action Tracker
49;Restavvik;Gjenværende risikogap;06 Omstilling & Tiltak;Det økonomiske avviket som fortsatt gjenstår etter at effekten av alle godkjente tiltak er trukket fra.;Viser det udekkede gapet som må håndteres dersom budsjettmålet skal nås.;[Forecast etter tiltak] - [Aarsbudsjett];Styret / Ledelse;03 Executive
50;SPE60;Studiepoengekvivalenter;05 Utdanningsproduksjon;Normalisert måleenhet tilsvarende 60 avlagte studiepoeng (en helårsstudent).;Primær driver i Kunnskapsdepartementets resultatbaserte bevilgningssystem.;DIVIDE([Avlagte studiepoeng], 60);Utdanningsledelse / Dekan;06 Studieportefølje
51;SRS;Statlige regnskapsstandarder;01 Regnskap & Sektor;Prinsipper for periodisert regnskapsføring i statlige virksomheter fastsatt av Finansdepartementet/DFØ.;Sikrer at ressursforbruk og inntekter synliggjøres i samme regnskapsperiode uavhengig av kontantstrøm.;Regelverk;Controller;08 Controller Cockpit
52;Studiepoeng måloppnåelse %;Eksamensproduksjonsgrad;05 Utdanningsproduksjon;Faktisk avlagte studiepoeng sammenlignet med planlagt studiepoengproduksjon.;Måler undervisningsavdelingenes evne til å oppfylle oppdragsmålet og unngå inntektsbortfall.;DIVIDE([Avlagte studiepoeng], [Planlagte studiepoeng]);Utdanningsledelse;06 Studieportefølje
53;TA;Teknisk-administrativ bemanning;04 Bemanning & Kapasitet;Fellesbetegnelse på ansatte innen administrasjon, IT, bibliotek, drift, HR og økonomi.;Viktig støttefunksjon som skal dimensjoneres proporsjonalt med fagmiljøenes størrelse.;"DimPositionGroup[Stillingskategori]=""Teknisk-administrativ""";HR / Ledelse;DT Bemanning
54;TDI;Totalkostnadsmodellen;01 Regnskap & Sektor;Nasjonale retningslinjer for beregning av direkte og indirekte kostnader (overhead) i BOA-prosjekter.;Sikrer at eksterne oppdragsgivere betaler en rettmessig andel av institusjonens felles infrastruktur.;Regelverk;Forskningsledelse;05 Forskning & BOA
55;Tiltak RAG Status;RAG-status omstillingstiltak;07 RAG & Farger;Visuell status for fremdriften på ledelsens innsparingstiltak.;Grønn ved gjennomført, Gul ved pågående, Rød ved forsinket, Grå ved planlagt.;"SWITCH(FactAction[Status], ""Gjennomført"", ""🟢 Gjennomført"", ""Pågår"", ""🟡 Pågår"", ""Forsinket"", ""🔴 Forsinket"", ""⚪ Planlagt"")";Ledelse / Styret;07 Action Tracker
56;TMDL;Tabular Model Definition Language;08 Teknisk & Modell;Tekstbasert formateringsspråk for Power BI semantiske modeller.;Erstatter monolittiske Model.bim-filer med modulære, lesbare `.tmdl`-filer.;UIA-Controller-Prosjekt.SemanticModel;BI-utvikler;TMDL Model
57;UF;Undervisning og forskning;04 Bemanning & Kapasitet;Vitenskapelige ansatte som professor, førsteamanuensis, postdoktor og stipendiater.;Kjernearbeidskraften som leverer utdanning, veiledning og forskningsresultater.;"DimPositionGroup[Stillingskategori]=""Vitenskapelig""";Dekan / Instituttleder;01 Instituttleder
58;VAC;Variance at Completion;02 Prosjektcontrolling (EVM);Forventet sluttavvik ved prosjektets fullføring beregnet som BAC minus EAC.;Positiv verdi angir mindreforbruk/besparelse, mens negativ verdi angir kostnadsoverskridelse.;[BAC] - [EAC];Project Controller;DT Prosjekt EVM
59;VAC %;Sluttavvik prosent;02 Prosjektcontrolling (EVM);Relativt forventet sluttavvik målt i prosent av opprinnelig budsjettramme.;Brukes til å rangere og prioritere oppfølging av prosjekter etter risikograd.;DIVIDE([VAC], [BAC]);Project Controller;DT Prosjekt EVM
60;YTD;Year to Date;01 Regnskap & Sektor;Akkumulert beløp fra regnskapsårets begynnelse (1. januar) og frem til rapporteringsdato.;Eliminerer tilfeldige månedssvingninger og gir et mer stabilt bilde av den økonomiske utviklingen.;TOTALYTD([Regnskap], DimDate[Dato]);Alle roller;08 Controller Cockpit
