DatoNokkel;Organisasjonsnokkel;Konto;Prosjekt;Belop;Tekst;TransaksjonsID;UseCasesRef
20260101;I014K1;5400;DRIFT;60905.23;Arbeidsgiveravgift;TX10049;Lønn/Drift
20260101;I014K1;5420;DRIFT;43195.2;Pensjonspremie SPK;TX10050;Lønn/Drift
20260101;I014K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10051;Drift/Lokaler
20260101;I014K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10052;Drift/IKT
20260101;I014K1;7130;DRIFT;8070.0;Reise og diett;TX10053;Drift/Reise
20260101;I014K2;5100;EVU001;83529.59999999999;Prosjektlønn forsker/stipendiat;TX10054;BOA/Lønn
20260101;I014K2;6800;EVU001;35798.4;Prosjektdrift og laboratoriemateriell;TX10055;BOA/Drift
20260101;I014K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10056;Use Case 3: SRS 9 Inntekt
20260101;I016K1;5000;DRIFT;445247.0;Månedslønn faste ansatte;TX10057;Lønn/Drift
20260101;I016K1;5400;DRIFT;62779.83;Arbeidsgiveravgift;TX10058;Lønn/Drift
20260101;I016K1;5420;DRIFT;44524.7;Pensjonspremie SPK;TX10059;Lønn/Drift
20260101;I016K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10060;Drift/Lokaler
20260101;I016K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10061;Drift/IKT
20260101;I016K1;7130;DRIFT;21559.0;Reise og diett;TX10062;Drift/Reise
20260101;I016K2;5100;NFR001;101117.09999999999;Prosjektlønn forsker/stipendiat;TX10063;BOA/Lønn
20260101;I016K2;6800;NFR001;43335.9;Prosjektdrift og laboratoriemateriell;TX10064;BOA/Drift
20260101;I016K2;3400;NFR001;-144453.0;SRS 10 Inntektsføring bidrag;TX10065;Use Case 2: SRS 10 Motsatt sammenstilling
20260101;I016K2;2180;NFR001;144453.0;Reduksjon mottatt forskuddsbetaling bidrag;TX10066;Use Case 2: SRS 10 Balanse
20260101;I017K1;5000;DRIFT;431739.0;Månedslønn faste ansatte;TX10067;Lønn/Drift
20260101;I017K1;5400;DRIFT;60875.2;Arbeidsgiveravgift;TX10068;Lønn/Drift
20260101;I017K1;5420;DRIFT;43173.9;Pensjonspremie SPK;TX10069;Lønn/Drift
20260101;I017K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10070;Drift/Lokaler
20260101;I017K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10071;Drift/IKT
20260101;I017K1;7130;DRIFT;23390.0;Reise og diett;TX10072;Drift/Reise
20260101;I017K2;5100;EVU001;82621.7;Prosjektlønn forsker/stipendiat;TX10073;BOA/Lønn
20260101;I017K2;6800;EVU001;35409.299999999996;Prosjektdrift og laboratoriemateriell;TX10074;BOA/Drift
20260101;I017K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10075;Use Case 3: SRS 9 Inntekt
20260101;I019K1;5000;DRIFT;476925.0;Månedslønn faste ansatte;TX10076;Lønn/Drift
20260101;I019K1;5400;DRIFT;67246.42;Arbeidsgiveravgift;TX10077;Lønn/Drift
20260101;I019K1;5420;DRIFT;47692.5;Pensjonspremie SPK;TX10078;Lønn/Drift
20260101;I019K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10079;Drift/Lokaler
20260101;I019K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10080;Drift/IKT
20260101;I019K1;7130;DRIFT;22856.0;Reise og diett;TX10081;Drift/Reise
20260101;I020K1;5000;DRIFT;457493.0;Månedslønn faste ansatte;TX10082;Lønn/Drift
20260101;I020K1;5400;DRIFT;64506.51;Arbeidsgiveravgift;TX10083;Lønn/Drift
20260101;I020K1;5420;DRIFT;45749.3;Pensjonspremie SPK;TX10084;Lønn/Drift
20260101;I020K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10085;Drift/Lokaler
20260101;I020K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10086;Drift/IKT
20260101;I020K1;7130;DRIFT;12223.0;Reise og diett;TX10087;Drift/Reise
20260201;I001K1;5000;DRIFT;459439.0;Månedslønn faste ansatte;TX10088;Lønn/Drift
20260201;I001K1;5400;DRIFT;64780.9;Arbeidsgiveravgift;TX10089;Lønn/Drift
20260201;I001K1;5420;DRIFT;45943.9;Pensjonspremie SPK;TX10090;Lønn/Drift
20260201;I001K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10091;Drift/Lokaler
20260201;I001K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10092;Drift/IKT
20260201;I001K1;7130;DRIFT;24309.0;Reise og diett;TX10093;Drift/Reise
20260201;I001K2;5100;EU001;86261.7;Prosjektlønn forsker/stipendiat;TX10094;BOA/Lønn
20260201;I001K2;6800;EU001;36969.299999999996;Prosjektdrift og laboratoriemateriell;TX10095;BOA/Drift
20260201;I001K2;3420;EU001;-123231.0;SRS 10 Inntektsføring bidrag;TX10096;Use Case 2: SRS 10 Motsatt sammenstilling
20260201;I001K2;2180;EU001;123231.0;Reduksjon mottatt forskuddsbetaling bidrag;TX10097;Use Case 2: SRS 10 Balanse
20260201;I002K1;5000;DRIFT;430425.0;Månedslønn faste ansatte;TX10098;Lønn/Drift
20260201;I002K1;5400;DRIFT;60689.92;Arbeidsgiveravgift;TX10099;Lønn/Drift
20260201;I002K1;5420;DRIFT;43042.5;Pensjonspremie SPK;TX10100;Lønn/Drift
20260201;I002K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10101;Drift/Lokaler
20260201;I002K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10102;Drift/IKT
20260201;I002K1;7130;DRIFT;10231.0;Reise og diett;TX10103;Drift/Reise
20260201;I002K2;5100;EVU001;92887.2;Prosjektlønn forsker/stipendiat;TX10104;BOA/Lønn
20260201;I002K2;6800;EVU001;39808.799999999996;Prosjektdrift og laboratoriemateriell;TX10105;BOA/Drift
20260201;I002K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10106;Use Case 3: SRS 9 Inntekt
20260201;I004K1;5000;DRIFT;452298.0;Månedslønn faste ansatte;TX10107;Lønn/Drift
20260201;I004K1;5400;DRIFT;63774.02;Arbeidsgiveravgift;TX10108;Lønn/Drift
20260201;I004K1;5420;DRIFT;45229.8;Pensjonspremie SPK;TX10109;Lønn/Drift
20260201;I004K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10110;Drift/Lokaler
20260201;I004K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10111;Drift/IKT
20260201;I004K1;7130;DRIFT;14105.0;Reise og diett;TX10112;Drift/Reise
20260201;I004K1;5050;DRIFT;40094.0;Overtid praksisoppfølging;TX10113;Use Case 6: Overtid/Sykdom
20260201;I004K2;5100;EVU001;83377.0;Prosjektlønn forsker/stipendiat;TX10114;BOA/Lønn
20260201;I004K2;6800;EVU001;35733.0;Prosjektdrift og laboratoriemateriell;TX10115;BOA/Drift
20260201;I004K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10116;Use Case 3: SRS 9 Inntekt
20260201;I007K1;5000;DRIFT;452059.0;Månedslønn faste ansatte;TX10117;Lønn/Drift
20260201;I007K1;5400;DRIFT;63740.32;Arbeidsgiveravgift;TX10118;Lønn/Drift
20260201;I007K1;5420;DRIFT;45205.9;Pensjonspremie SPK;TX10119;Lønn/Drift
20260201;I007K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10120;Drift/Lokaler
20260201;I007K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10121;Drift/IKT
20260201;I007K1;7130;DRIFT;8349.0;Reise og diett;TX10122;Drift/Reise
20260201;I007K2;5100;EVU001;77754.59999999999;Prosjektlønn forsker/stipendiat;TX10123;BOA/Lønn
20260201;I007K2;6800;EVU001;33323.4;Prosjektdrift og laboratoriemateriell;TX10124;BOA/Drift
20260201;I007K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10125;Use Case 3: SRS 9 Inntekt
20260201;I013K1;5000;DRIFT;454898.0;Månedslønn faste ansatte;TX10126;Lønn/Drift
20260201;I013K1;5400;DRIFT;64140.62;Arbeidsgiveravgift;TX10127;Lønn/Drift
20260201;I013K1;5420;DRIFT;45489.8;Pensjonspremie SPK;TX10128;Lønn/Drift
20260201;I013K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10129;Drift/Lokaler
20260201;I013K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10130;Drift/IKT
20260201;I013K1;7130;DRIFT;8169.0;Reise og diett;TX10131;Drift/Reise
20260201;I013K2;5100;EVU001;89968.2;Prosjektlønn forsker/stipendiat;TX10132;BOA/Lønn
20260201;I013K2;6800;EVU001;38557.799999999996;Prosjektdrift og laboratoriemateriell;TX10133;BOA/Drift
20260201;I013K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10134;Use Case 3: SRS 9 Inntekt
20260201;I014K1;5000;DRIFT;452541.0;Månedslønn faste ansatte;TX10135;Lønn/Drift
20260201;I014K1;5400;DRIFT;63808.28;Arbeidsgiveravgift;TX10136;Lønn/Drift
20260201;I014K1;5420;DRIFT;45254.1;Pensjonspremie SPK;TX10137;Lønn/Drift
20260201;I014K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10138;Drift/Lokaler
20260201;I014K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10139;Drift/IKT
20260201;I014K1;7130;DRIFT;24782.0;Reise og diett;TX10140;Drift/Reise
20260201;I014K2;5100;EVU001;85634.5;Prosjektlønn forsker/stipendiat;TX10141;BOA/Lønn
20260201;I014K2;6800;EVU001;36700.5;Prosjektdrift og laboratoriemateriell;TX10142;BOA/Drift
20260201;I014K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10143;Use Case 3: SRS 9 Inntekt
20260201;I016K1;5000;DRIFT;432847.0;Månedslønn faste ansatte;TX10144;Lønn/Drift
20260201;I016K1;5400;DRIFT;61031.43;Arbeidsgiveravgift;TX10145;Lønn/Drift
20260201;I016K1;5420;DRIFT;43284.7;Pensjonspremie SPK;TX10146;Lønn/Drift
20260201;I016K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10147;Drift/Lokaler
20260201;I016K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10148;Drift/IKT
20260201;I016K1;7130;DRIFT;20054.0;Reise og diett;TX10149;Drift/Reise
20260201;I016K2;5100;NFR001;98099.4;Prosjektlønn forsker/stipendiat;TX10150;BOA/Lønn
20260201;I016K2;6800;NFR001;42042.6;Prosjektdrift og laboratoriemateriell;TX10151;BOA/Drift
20260201;I016K2;3400;NFR001;-140142.0;SRS 10 Inntektsføring bidrag;TX10152;Use Case 2: SRS 10 Motsatt sammenstilling
20260201;I016K2;2180;NFR001;140142.0;Reduksjon mottatt forskuddsbetaling bidrag;TX10153;Use Case 2: SRS 10 Balanse
20260201;I017K1;5000;DRIFT;438180.0;Månedslønn faste ansatte;TX10154;Lønn/Drift
20260201;I017K1;5400;DRIFT;61783.38;Arbeidsgiveravgift;TX10155;Lønn/Drift
20260201;I017K1;5420;DRIFT;43818.0;Pensjonspremie SPK;TX10156;Lønn/Drift
20260201;I017K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10157;Drift/Lokaler
20260201;I017K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10158;Drift/IKT
20260201;I017K1;7130;DRIFT;17403.0;Reise og diett;TX10159;Drift/Reise
20260201;I017K2;5100;EVU001;77114.79999999999;Prosjektlønn forsker/stipendiat;TX10160;BOA/Lønn
20260201;I017K2;6800;EVU001;33049.2;Prosjektdrift og laboratoriemateriell;TX10161;BOA/Drift
20260201;I017K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10162;Use Case 3: SRS 9 Inntekt
20260201;I019K1;5000;DRIFT;466178.0;Månedslønn faste ansatte;TX10163;Lønn/Drift
20260201;I019K1;5400;DRIFT;65731.1;Arbeidsgiveravgift;TX10164;Lønn/Drift
20260201;I019K1;5420;DRIFT;46617.8;Pensjonspremie SPK;TX10165;Lønn/Drift
20260201;I019K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10166;Drift/Lokaler
20260201;I019K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10167;Drift/IKT
20260201;I019K1;7130;DRIFT;14606.0;Reise og diett;TX10168;Drift/Reise
20260201;I020K1;5000;DRIFT;471198.0;Månedslønn faste ansatte;TX10169;Lønn/Drift
20260201;I020K1;5400;DRIFT;66438.92;Arbeidsgiveravgift;TX10170;Lønn/Drift
20260201;I020K1;5420;DRIFT;47119.8;Pensjonspremie SPK;TX10171;Lønn/Drift
20260201;I020K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10172;Drift/Lokaler
20260201;I020K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10173;Drift/IKT
20260201;I020K1;7130;DRIFT;16850.0;Reise og diett;TX10174;Drift/Reise
20260301;I001K1;5000;DRIFT;467837.0;Månedslønn faste ansatte;TX10175;Lønn/Drift
20260301;I001K1;5400;DRIFT;65965.02;Arbeidsgiveravgift;TX10176;Lønn/Drift
20260301;I001K1;5420;DRIFT;46783.7;Pensjonspremie SPK;TX10177;Lønn/Drift
20260301;I001K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10178;Drift/Lokaler
20260301;I001K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10179;Drift/IKT
20260301;I001K1;7130;DRIFT;11300.0;Reise og diett;TX10180;Drift/Reise
20260301;I001K2;5100;EU001;76690.59999999999;Prosjektlønn forsker/stipendiat;TX10181;BOA/Lønn
20260301;I001K2;6800;EU001;32867.4;Prosjektdrift og laboratoriemateriell;TX10182;BOA/Drift
20260301;I001K2;3420;EU001;-109558.0;SRS 10 Inntektsføring bidrag;TX10183;Use Case 2: SRS 10 Motsatt sammenstilling
20260301;I001K2;2180;EU001;109558.0;Reduksjon mottatt forskuddsbetaling bidrag;TX10184;Use Case 2: SRS 10 Balanse
20260301;I002K1;5000;DRIFT;433003.0;Månedslønn faste ansatte;TX10185;Lønn/Drift
20260301;I002K1;5400;DRIFT;61053.42;Arbeidsgiveravgift;TX10186;Lønn/Drift
20260301;I002K1;5420;DRIFT;43300.3;Pensjonspremie SPK;TX10187;Lønn/Drift
20260301;I002K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10188;Drift/Lokaler
20260301;I002K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10189;Drift/IKT
20260301;I002K1;7130;DRIFT;12467.0;Reise og diett;TX10190;Drift/Reise
20260301;I002K2;5100;EVU001;86775.5;Prosjektlønn forsker/stipendiat;TX10191;BOA/Lønn
20260301;I002K2;6800;EVU001;37189.5;Prosjektdrift og laboratoriemateriell;TX10192;BOA/Drift
20260301;I002K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10193;Use Case 3: SRS 9 Inntekt
20260301;I004K1;5000;DRIFT;435229.0;Månedslønn faste ansatte;TX10194;Lønn/Drift
20260301;I004K1;5400;DRIFT;61367.29;Arbeidsgiveravgift;TX10195;Lønn/Drift
20260301;I004K1;5420;DRIFT;43522.9;Pensjonspremie SPK;TX10196;Lønn/Drift
20260301;I004K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10197;Drift/Lokaler
20260301;I004K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10198;Drift/IKT
20260301;I004K1;7130;DRIFT;12628.0;Reise og diett;TX10199;Drift/Reise
20260301;I004K1;5050;DRIFT;63392.0;Overtid praksisoppfølging;TX10200;Use Case 6: Overtid/Sykdom
20260301;I004K1;5800;DRIFT;-42000.0;Refusjon sykepenger NAV;TX10201;Use Case 6: NAV Refusjon
20260301;I004K2;5100;EVU001;78133.29999999999;Prosjektlønn forsker/stipendiat;TX10202;BOA/Lønn
20260301;I004K2;6800;EVU001;33485.7;Prosjektdrift og laboratoriemateriell;TX10203;BOA/Drift
20260301;I004K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10204;Use Case 3: SRS 9 Inntekt
20260301;I007K1;5000;DRIFT;454911.0;Månedslønn faste ansatte;TX10205;Lønn/Drift
20260301;I007K1;5400;DRIFT;64142.45;Arbeidsgiveravgift;TX10206;Lønn/Drift
20260301;I007K1;5420;DRIFT;45491.1;Pensjonspremie SPK;TX10207;Lønn/Drift
20260301;I007K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10208;Drift/Lokaler
20260301;I007K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10209;Drift/IKT
20260301;I007K1;7130;DRIFT;14108.0;Reise og diett;TX10210;Drift/Reise
20260301;I007K2;5100;EVU001;94299.79999999999;Prosjektlønn forsker/stipendiat;TX10211;BOA/Lønn
20260301;I007K2;6800;EVU001;40414.2;Prosjektdrift og laboratoriemateriell;TX10212;BOA/Drift
20260301;I007K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10213;Use Case 3: SRS 9 Inntekt
20260301;I013K1;5000;DRIFT;471660.0;Månedslønn faste ansatte;TX10214;Lønn/Drift
20260301;I013K1;5400;DRIFT;66504.06;Arbeidsgiveravgift;TX10215;Lønn/Drift
20260301;I013K1;5420;DRIFT;47166.0;Pensjonspremie SPK;TX10216;Lønn/Drift
20260301;I013K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10217;Drift/Lokaler
20260301;I013K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10218;Drift/IKT
20260301;I013K1;7130;DRIFT;16954.0;Reise og diett;TX10219;Drift/Reise
20260301;I013K2;5100;EVU001;80961.29999999999;Prosjektlønn forsker/stipendiat;TX10220;BOA/Lønn
20260301;I013K2;6800;EVU001;34697.7;Prosjektdrift og laboratoriemateriell;TX10221;BOA/Drift
20260301;I013K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10222;Use Case 3: SRS 9 Inntekt
20260301;I014K1;5000;DRIFT;454260.0;Månedslønn faste ansatte;TX10223;Lønn/Drift
20260301;I014K1;5400;DRIFT;64050.66;Arbeidsgiveravgift;TX10224;Lønn/Drift
20260301;I014K1;5420;DRIFT;45426.0;Pensjonspremie SPK;TX10225;Lønn/Drift
20260301;I014K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10226;Drift/Lokaler
20260301;I014K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10227;Drift/IKT
20260301;I014K1;7130;DRIFT;16641.0;Reise og diett;TX10228;Drift/Reise
20260301;I014K2;5100;EVU001;83111.0;Prosjektlønn forsker/stipendiat;TX10229;BOA/Lønn
20260301;I014K2;6800;EVU001;35619.0;Prosjektdrift og laboratoriemateriell;TX10230;BOA/Drift
20260301;I014K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10231;Use Case 3: SRS 9 Inntekt
20260301;I016K1;5000;DRIFT;473920.0;Månedslønn faste ansatte;TX10232;Lønn/Drift
20260301;I016K1;5400;DRIFT;66822.72;Arbeidsgiveravgift;TX10233;Lønn/Drift
20260301;I016K1;5420;DRIFT;47392.0;Pensjonspremie SPK;TX10234;Lønn/Drift
20260301;I016K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10235;Drift/Lokaler
20260301;I016K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10236;Drift/IKT
20260301;I016K1;7130;DRIFT;13748.0;Reise og diett;TX10237;Drift/Reise
20260301;I016K2;5100;NFR001;76775.29999999999;Prosjektlønn forsker/stipendiat;TX10238;BOA/Lønn
20260301;I016K2;6800;NFR001;32903.7;Prosjektdrift og laboratoriemateriell;TX10239;BOA/Drift
20260301;I016K2;3400;NFR001;-109679.0;SRS 10 Inntektsføring bidrag;TX10240;Use Case 2: SRS 10 Motsatt sammenstilling
20260301;I016K2;2180;NFR001;109679.0;Reduksjon mottatt forskuddsbetaling bidrag;TX10241;Use Case 2: SRS 10 Balanse
20260301;I017K1;5000;DRIFT;469920.0;Månedslønn faste ansatte;TX10242;Lønn/Drift
20260301;I017K1;5400;DRIFT;66258.72;Arbeidsgiveravgift;TX10243;Lønn/Drift
20260301;I017K1;5420;DRIFT;46992.0;Pensjonspremie SPK;TX10244;Lønn/Drift
20260301;I017K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10245;Drift/Lokaler
20260301;I017K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10246;Drift/IKT
20260301;I017K1;7130;DRIFT;10607.0;Reise og diett;TX10247;Drift/Reise
20260301;I017K2;5100;EVU001;98003.5;Prosjektlønn forsker/stipendiat;TX10248;BOA/Lønn
20260301;I017K2;6800;EVU001;42001.5;Prosjektdrift og laboratoriemateriell;TX10249;BOA/Drift
20260301;I017K2;3450;EVU001;-110000.0;Oppdragsfaktura EVU;TX10250;Use Case 3: SRS 9 Inntekt
20260301;I019K1;5000;DRIFT;477784.0;Månedslønn faste ansatte;TX10251;Lønn/Drift
20260301;I019K1;5400;DRIFT;67367.54;Arbeidsgiveravgift;TX10252;Lønn/Drift
20260301;I019K1;5420;DRIFT;47778.4;Pensjonspremie SPK;TX10253;Lønn/Drift
20260301;I019K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10254;Drift/Lokaler
20260301;I019K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10255;Drift/IKT
20260301;I019K1;7130;DRIFT;13021.0;Reise og diett;TX10256;Drift/Reise
20260301;I020K1;5000;DRIFT;440708.0;Månedslønn faste ansatte;TX10257;Lønn/Drift
20260301;I020K1;5400;DRIFT;62139.83;Arbeidsgiveravgift;TX10258;Lønn/Drift
20260301;I020K1;5420;DRIFT;44070.8;Pensjonspremie SPK;TX10259;Lønn/Drift
20260301;I020K1;6300;DRIFT;85000.0;Husleie og lokaler;TX10260;Drift/Lokaler
20260301;I020K1;6420;DRIFT;25000.0;IKT lisenser og datasystemer;TX10261;Drift/IKT
20260301;I020K1;7130;DRIFT;20147.0;Reise og diett;TX10262;Drift/Reise
20260301;I020K1;1250;INV001;1200000.0;Kjøp av ny serverpark (Aktivert SRS 17);TX10263;Use Case 4: SRS 17 Aktivering
20260301;I020K1;2050;INV001;-1200000.0;Statens finansiering av anleggsmidler;TX10264;Use Case 4: SRS 17 Motkonto
20260301;I020K1;6050;INV001;33333.33;Månedlig avskrivning serverpark (5 år);TX10265;Use Case 4: SRS 17 Avskrivning
20260401;I001K1;5000;DRIFT;454867.0;Månedslønn faste ansatte;TX10266;Lønn/Drift
20260401;I001K1;5400;DRIFT;64136.25;Arbeidsgiveravgift;TX10267;Lønn/Drift
20260401;I001K1;5420;DRIFT;45486.7;Pensjonspremie SPK;TX10268;Lønn/Drift
